source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,10,aligned_area_match,315.87695491416446,315.881300335358,315.8769451540224,315.87697616480835,315.881300335358,2.1250643897019472e-05,-9.76014206344189e-06,3.101078596046136e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,11,aligned_area_match,315.7740957328341,315.8048152255651,315.77408870139766,315.7741112677033,315.8048152255651,1.5534869191924372e-05,-7.031436439319805e-06,2.2566305631244177e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,12,aligned_area_match,315.9411447928342,315.9334548529033,315.9411388985568,315.9411574705609,315.9334548529033,1.2677726658694155e-05,-5.894277421703009e-06,1.8572004080397164e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,13,aligned_area_match,315.9441456903951,315.9222054709876,315.9441417592295,315.94415432128295,315.9222054709876,8.630887862182135e-06,-3.931165565518313e-06,1.2562053427700448e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,14,aligned_area_match,315.81095260860656,315.8061576150366,315.81095016866993,315.8109580401467,315.8061576150366,5.43154015986147e-06,-2.4399366225225094e-06,7.87147678238398e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,15,aligned_area_match,315.79523495727284,315.7806774225645,315.79523235562226,315.7952407740107,315.7806774225645,5.8167378824691696e-06,-2.60165057852646e-06,8.41838846099563e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,16,aligned_area_match,315.78895563289564,315.7691023059547,315.78895304284254,315.78896144349056,315.7691023059547,5.81059492787972e-06,-2.5900530999933835e-06,8.400648027873103e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,17,aligned_area_match,315.7487434498356,315.7384253583866,315.74874124093327,315.74874847742126,315.7384253583866,5.027585643802013e-06,-2.208902344591479e-06,7.236487988393492e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,18,aligned_area_match,315.71026131590236,315.71099741088545,315.71025923145635,315.71026611938333,315.71099741088545,4.803480976534047e-06,-2.084446009575913e-06,6.88792698610996e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,19,aligned_area_match,315.72373764818076,315.7223342072824,315.723735337514,315.72374293798964,315.7223342072824,5.289808882480429e-06,-2.3106667867978103e-06,7.600475669278239e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,20,aligned_area_match,315.7762726993107,315.7633954556103,315.7762704580426,315.77627774786197,315.7633954556103,5.0485512588238635e-06,-2.2412681346395402e-06,7.289819393463404e-06
